age,workclass,education,occupation,native-country,class
39, State-gov, Bachelors, Adm-clerical, United-States, <=50K
50, Self-emp-not-inc, Bachelors, Exec-managerial, United-States, <=50K
38, Private, HS-grad, Handlers-cleaners, United-States, <=50K
53, Private, 11th, Handlers-cleaners, United-States, <=50K
28, Private, Bachelors, Prof-specialty, Cuba, <=50K
37, Private, Masters, Exec-managerial, United-States, <=50K
49, Private, 9th, Other-service, Jamaica, <=50K
52, Self-emp-not-inc, HS-grad, Exec-managerial, United-States, >50K
31, Private, Masters, Prof-specialty, United-States, >50K
42, Private, Bachelors, Exec-managerial, United-States, >50K
37, Private, Some-college, Exec-managerial, United-States, >50K
30, State-gov, Bachelors, Prof-specialty, India, >50K
23, Private, Bachelors, Adm-clerical, United-States, <=50K
32, Private, Assoc-acdm, Sales, United-States, <=50K
40, Private, Assoc-voc, Craft-repair, ?, >50K
34, Private, 7th-8th, Transport-moving, Mexico, <=50K
25, Self-emp-not-inc, HS-grad, Farming-fishing, United-States, <=50K
32, Private, HS-grad, Machine-op-inspct, United-States, <=50K
38, Private, 11th, Sales, United-States, <=50K
43, Self-emp-not-inc, Masters, Exec-managerial, United-States, >50K
40, Private, Doctorate, Prof-specialty, United-States, >50K
54, Private, HS-grad, Other-service, United-States, <=50K
35, Federal-gov, 9th, Farming-fishing, United-States, <=50K
43, Private, 11th, Transport-moving, United-States, <=50K
59, Private, HS-grad, Tech-support, United-States, <=50K
56, Local-gov, Bachelors, Tech-support, United-States, >50K
19, Private, HS-grad, Craft-repair, United-States, <=50K
54, ?, Some-college, ?, South, >50K
39, Private, HS-grad, Exec-managerial, United-States, <=50K
49, Private, HS-grad, Craft-repair, United-States, <=50K
23, Local-gov, Assoc-acdm, Protective-serv, United-States, <=50K
20, Private, Some-college, Sales, United-States, <=50K
45, Private, Bachelors, Exec-managerial, United-States, <=50K
30, Federal-gov, Some-college, Adm-clerical, United-States, <=50K
22, State-gov, Some-college, Other-service, United-States, <=50K
48, Private, 11th, Machine-op-inspct, Puerto-Rico, <=50K
21, Private, Some-college, Machine-op-inspct, United-States, <=50K
19, Private, HS-grad, Adm-clerical, United-States, <=50K
31, Private, Some-college, Sales, ?, >50K
48, Self-emp-not-inc, Assoc-acdm, Prof-specialty, United-States, <=50K
31, Private, 9th, Machine-op-inspct, United-States, <=50K
53, Self-emp-not-inc, Bachelors, Prof-specialty, United-States, <=50K
24, Private, Bachelors, Tech-support, United-States, <=50K
49, Private, HS-grad, Adm-clerical, United-States, <=50K
25, Private, HS-grad, Handlers-cleaners, United-States, <=50K
57, Federal-gov, Bachelors, Prof-specialty, United-States, >50K
53, Private, HS-grad, Machine-op-inspct, United-States, <=50K
44, Private, Masters, Exec-managerial, United-States, <=50K
41, State-gov, Assoc-voc, Craft-repair, United-States, <=50K
29, Private, Assoc-voc, Prof-specialty, United-States, <=50K
25, Private, Some-college, Exec-managerial, United-States, <=50K
18, Private, HS-grad, Other-service, ?, <=50K
47, Private, Prof-school, Prof-specialty, Honduras, >50K
50, Federal-gov, Bachelors, Exec-managerial, United-States, >50K
47, Self-emp-inc, HS-grad, Exec-managerial, United-States, <=50K
43, Private, Some-college, Tech-support, United-States, >50K
46, Private, 5th-6th, Machine-op-inspct, Mexico, <=50K
35, Private, Assoc-voc, Other-service, Puerto-Rico, <=50K
41, Private, HS-grad, Adm-clerical, United-States, <=50K
30, Private, HS-grad, Machine-op-inspct, United-States, <=50K
30, Private, Bachelors, Sales, United-States, <=50K
32, ?, 7th-8th, ?, ?, <=50K
48, Private, HS-grad, Transport-moving, United-States, <=50K
42, Private, Doctorate, Prof-specialty, United-States, >50K
29, Private, Some-college, Tech-support, United-States, <=50K
36, Private, HS-grad, Craft-repair, United-States, <=50K
28, Private, Some-college, Adm-clerical, United-States, <=50K
53, Private, HS-grad, Adm-clerical, United-States, >50K
49, Self-emp-inc, Some-college, Exec-managerial, United-States, >50K
25, ?, Some-college, ?, United-States, <=50K
19, Private, Some-college, Prof-specialty, United-States, <=50K
31, Private, Bachelors, Sales, United-States, <=50K
29, Self-emp-not-inc, Bachelors, Sales, United-States, >50K
23, Private, Some-college, Machine-op-inspct, United-States, <=50K
79, Private, Some-college, Prof-specialty, United-States, <=50K
27, Private, HS-grad, Other-service, Mexico, <=50K
40, Private, Assoc-acdm, Adm-clerical, United-States, <=50K
67, ?, 10th, ?, United-States, <=50K
18, Private, 11th, Other-service, United-States, <=50K
31, Local-gov, 7th-8th, Farming-fishing, United-States, <=50K
18, Private, HS-grad, Sales, United-States, <=50K
52, Private, Bachelors, Other-service, Cuba, <=50K
46, Private, HS-grad, Other-service, United-States, <=50K
59, Private, HS-grad, Sales, United-States, <=50K
44, Private, HS-grad, Craft-repair, United-States, >50K
53, Private, HS-grad, Sales, United-States, <=50K
49, Local-gov, HS-grad, Protective-serv, United-States, >50K
33, Private, Masters, Prof-specialty, United-States, <=50K
30, Private, 9th, Sales, United-States, <=50K
43, Federal-gov, Doctorate, Prof-specialty, United-States, >50K
57, Private, Assoc-voc, Prof-specialty, United-States, <=50K
37, Private, Some-college, Craft-repair, United-States, <=50K
28, Private, Some-college, Machine-op-inspct, United-States, <=50K
30, Private, HS-grad, Sales, ?, <=50K
34, Local-gov, Bachelors, Protective-serv, United-States, >50K
29, Local-gov, Some-college, Handlers-cleaners, United-States, <=50K
48, Self-emp-not-inc, Doctorate, Prof-specialty, United-States, >50K
37, Private, Some-college, Sales, United-States, >50K
48, Private, Assoc-acdm, Exec-managerial, England, <=50K
32, Federal-gov, HS-grad, Other-service, United-States, <=50K
76, Private, Masters, Exec-managerial, United-States, >50K
44, Private, Bachelors, Exec-managerial, United-States, >50K
47, Self-emp-not-inc, Masters, Prof-specialty, United-States, <=50K
20, Private, Some-college, Tech-support, United-States, <=50K
29, Private, HS-grad, Craft-repair, United-States, <=50K
32, Self-emp-inc, HS-grad, Craft-repair, United-States, >50K
17, ?, 10th, ?, United-States, <=50K
30, Private, 11th, Handlers-cleaners, United-States, <=50K
31, Local-gov, HS-grad, Adm-clerical, United-States, <=50K
42, Private, HS-grad, Handlers-cleaners, United-States, <=50K
24, Private, Bachelors, Sales, United-States, <=50K
38, Private, Prof-school, Prof-specialty, United-States, >50K
56, Self-emp-not-inc, HS-grad, Other-service, Canada, >50K
28, Private, Some-college, Sales, United-States, <=50K
36, Private, HS-grad, Machine-op-inspct, United-States, <=50K
53, Private, 9th, Handlers-cleaners, United-States, <=50K
56, Self-emp-inc, Some-college, Sales, United-States, <=50K
49, Local-gov, Assoc-voc, Craft-repair, United-States, >50K
55, Private, Some-college, Sales, United-States, <=50K
22, Private, HS-grad, Craft-repair, United-States, <=50K
21, Private, Some-college, Other-service, United-States, <=50K
40, Private, Bachelors, Exec-managerial, United-States, <=50K
30, Private, Bachelors, Exec-managerial, Germany, <=50K
29, State-gov, Bachelors, Prof-specialty, United-States, >50K
19, Private, Some-college, Other-service, United-States, <=50K
47, Private, Bachelors, Exec-managerial, United-States, >50K
20, Private, Some-college, Adm-clerical, United-States, <=50K
31, Private, Assoc-acdm, Adm-clerical, United-States, >50K
35, ?, HS-grad, ?, United-States, <=50K
39, Private, Some-college, Craft-repair, United-States, <=50K
28, Private, Assoc-acdm, Sales, United-States, <=50K
24, Private, HS-grad, Other-service, United-States, <=50K
38, Self-emp-not-inc, HS-grad, Craft-repair, United-States, <=50K
37, Private, Bachelors, Sales, United-States, <=50K
46, Private, Assoc-acdm, Tech-support, United-States, <=50K
38, Federal-gov, Masters, Prof-specialty, Iran, >50K
43, Self-emp-not-inc, HS-grad, Craft-repair, United-States, <=50K
27, Private, Assoc-voc, Adm-clerical, United-States, <=50K
20, Private, Some-college, Sales, United-States, <=50K
49, Private, Some-college, Craft-repair, United-States, >50K
61, Self-emp-inc, HS-grad, Craft-repair, United-States, <=50K
27, Private, Some-college, Sales, United-States, <=50K
19, Private, Some-college, Other-service, Mexico, <=50K
45, Private, Assoc-voc, Prof-specialty, United-States, >50K
70, Private, Some-college, Tech-support, United-States, <=50K
31, Private, HS-grad, Transport-moving, United-States, <=50K
22, Private, Some-college, Other-service, United-States, <=50K
36, Private, HS-grad, Other-service, United-States, <=50K
64, Private, 11th, Craft-repair, United-States, <=50K
43, ?, Some-college, ?, United-States, <=50K
47, Local-gov, Some-college, Adm-clerical, Mexico, <=50K
34, Private, HS-grad, Adm-clerical, United-States, <=50K
33, Private, Bachelors, Exec-managerial, Philippines, <=50K
21, Private, HS-grad, Craft-repair, United-States, <=50K
52, ?, HS-grad, ?, United-States, >50K
48, Private, HS-grad, Craft-repair, United-States, <=50K
23, Private, Bachelors, Handlers-cleaners, United-States, <=50K
71, Self-emp-not-inc, Some-college, Sales, United-States, <=50K
29, Private, HS-grad, Craft-repair, United-States, <=50K
42, Private, Bachelors, Other-service, United-States, <=50K
68, ?, 1st-4th, ?, United-States, <=50K
25, Private, HS-grad, Other-service, United-States, <=50K
44, Self-emp-inc, Masters, Exec-managerial, United-States, <=50K
28, Private, HS-grad, Exec-managerial, England, <=50K
45, Self-emp-not-inc, Masters, Sales, United-States, >50K
36, Private, Some-college, Other-service, Mexico, <=50K
39, Federal-gov, Assoc-acdm, Exec-managerial, United-States, <=50K
46, State-gov, Masters, Protective-serv, United-States, <=50K
18, Private, 11th, Handlers-cleaners, United-States, <=50K
66, Local-gov, Assoc-voc, Prof-specialty, United-States, <=50K
27, Private, HS-grad, Other-service, United-States, <=50K
28, State-gov, HS-grad, Protective-serv, United-States, <=50K
51, Private, Some-college, Sales, United-States, >50K
27, Private, Bachelors, Craft-repair, United-States, <=50K
28, State-gov, Bachelors, Prof-specialty, United-States, >50K
27, Private, HS-grad, Sales, United-States, <=50K
21, Private, HS-grad, Craft-repair, United-States, <=50K
34, Private, HS-grad, Handlers-cleaners, United-States, <=50K
18, Private, HS-grad, Other-service, United-States, <=50K
33, Private, Bachelors, Prof-specialty, United-States, <=50K
44, Local-gov, Some-college, Exec-managerial, United-States, >50K
43, Private, Some-college, Adm-clerical, United-States, <=50K
30, Private, Some-college, Craft-repair, United-States, <=50K
40, Private, 7th-8th, Machine-op-inspct, Mexico, >50K
37, Federal-gov, Some-college, Adm-clerical, United-States, >50K
34, Private, HS-grad, Adm-clerical, United-States, <=50K
41, Self-emp-not-inc, Bachelors, Exec-managerial, United-States, <=50K
53, ?, Bachelors, ?, United-States, <=50K
31, Private, Masters, Prof-specialty, United-States, <=50K
58, State-gov, Doctorate, Prof-specialty, United-States, >50K
38, Private, Some-college, Machine-op-inspct, United-States, <=50K
24, Private, Some-college, Machine-op-inspct, United-States, <=50K
41, Local-gov, Bachelors, Craft-repair, United-States, <=50K
47, Private, Some-college, Tech-support, United-States, <=50K
41, Federal-gov, Bachelors, Tech-support, United-States, <=50K
23, Private, 5th-6th, Transport-moving, Mexico, <=50K
36, Private, Some-college, Craft-repair, United-States, <=50K
40, Federal-gov, Masters, Exec-managerial, United-States, >50K
35, Private, Masters, Prof-specialty, United-States, >50K
24, Self-emp-not-inc, HS-grad, Sales, United-States, <=50K
26, Private, Masters, Prof-specialty, United-States, <=50K
19, ?, HS-grad, ?, Italy, <=50K
51, Private, Bachelors, Exec-managerial, United-States, >50K
42, Local-gov, Some-college, Prof-specialty, United-States, <=50K
37, State-gov, HS-grad, Adm-clerical, United-States, <=50K
18, Private, 11th, Sales, United-States, <=50K
36, Private, Bachelors, Other-service, United-States, >50K
35, Private, HS-grad, Craft-repair, United-States, <=50K
58, Self-emp-inc, HS-grad, Sales, United-States, >50K
17, Private, 11th, Sales, United-States, <=50K
44, Local-gov, HS-grad, Transport-moving, United-States, <=50K
37, Private, HS-grad, Craft-repair, United-States, >50K
35, Private, Some-college, Sales, United-States, <=50K
60, Private, HS-grad, Craft-repair, United-States, <=50K
54, Self-emp-inc, 7th-8th, Machine-op-inspct, United-States, >50K
37, Private, Bachelors, Exec-managerial, United-States, >50K
50, Private, Assoc-acdm, Sales, United-States, <=50K
38, Private, Bachelors, Sales, Poland, <=50K
45, Private, Bachelors, Prof-specialty, United-States, <=50K
25, Private, 10th, Craft-repair, United-States, <=50K
31, Private, Some-college, Handlers-cleaners, United-States, <=50K
64, ?, 1st-4th, ?, United-States, <=50K
90, Private, HS-grad, Other-service, United-States, <=50K
54, Private, HS-grad, Adm-clerical, United-States, <=50K
53, Local-gov, Preschool, Machine-op-inspct, United-States, <=50K
18, Private, HS-grad, Sales, United-States, <=50K
60, ?, 10th, ?, United-States, <=50K
66, Self-emp-not-inc, HS-grad, Farming-fishing, United-States, <=50K
75, Private, Assoc-voc, Adm-clerical, Columbia, <=50K
65, Private, HS-grad, Adm-clerical, United-States, <=50K
35, Private, 11th, Transport-moving, United-States, <=50K
41, Private, HS-grad, Sales, United-States, <=50K
25, Private, Some-college, Adm-clerical, United-States, <=50K
33, Private, Some-college, Craft-repair, United-States, <=50K
28, Private, Prof-school, Prof-specialty, United-States, >50K
59, State-gov, HS-grad, Other-service, United-States, <=50K
40, State-gov, Some-college, Adm-clerical, United-States, <=50K
41, Private, Bachelors, Exec-managerial, Iran, >50K
38, Local-gov, Masters, Exec-managerial, United-States, >50K
23, Private, HS-grad, Transport-moving, United-States, <=50K
40, Private, Bachelors, Prof-specialty, United-States, >50K
41, Self-emp-not-inc, HS-grad, Other-service, United-States, <=50K
24, State-gov, Assoc-acdm, Protective-serv, United-States, <=50K
20, ?, Some-college, ?, United-States, <=50K
38, Private, Some-college, Craft-repair, United-States, <=50K
56, Private, HS-grad, Adm-clerical, ?, <=50K
58, Private, HS-grad, Adm-clerical, United-States, >50K
32, Private, HS-grad, Other-service, United-States, <=50K
40, Private, Assoc-acdm, Tech-support, United-States, >50K
45, Private, HS-grad, Adm-clerical, ?, <=50K
41, Private, Prof-school, Prof-specialty, United-States, >50K
42, Private, Bachelors, Adm-clerical, United-States, <=50K
59, Local-gov, 10th, Other-service, United-States, <=50K
19, Local-gov, Some-college, Adm-clerical, United-States, <=50K
58, Private, Some-college, Transport-moving, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Farming-fishing, Cambodia, >50K
20, Private, HS-grad, Other-service, United-States, <=50K
32, Private, HS-grad, Other-service, United-States, <=50K
45, Private, Assoc-voc, Exec-managerial, United-States, <=50K
50, Private, 7th-8th, Craft-repair, United-States, <=50K
36, Private, Bachelors, Prof-specialty, United-States, <=50K
45, Private, HS-grad, Sales, United-States, <=50K
17, Private, 11th, Other-service, United-States, <=50K
59, Private, Some-college, Sales, United-States, <=50K
26, Private, 11th, Craft-repair, United-States, <=50K
37, Self-emp-inc, Some-college, Exec-managerial, Thailand, >50K
19, ?, Some-college, ?, Canada, <=50K
64, Private, HS-grad, Exec-managerial, United-States, >50K
33, Private, Bachelors, Prof-specialty, United-States, <=50K
33, Private, HS-grad, Craft-repair, United-States, >50K
61, Private, HS-grad, Exec-managerial, United-States, >50K
17, Private, 9th, Other-service, United-States, <=50K
50, Self-emp-not-inc, Masters, Farming-fishing, United-States, <=50K
27, Local-gov, Masters, Prof-specialty, United-States, <=50K
30, Private, HS-grad, Prof-specialty, United-States, <=50K
43, Private, HS-grad, Handlers-cleaners, United-States, <=50K
44, Private, Some-college, Craft-repair, United-States, >50K
35, Private, Some-college, Exec-managerial, United-States, <=50K
25, Private, Some-college, Tech-support, United-States, <=50K
24, Private, Some-college, Machine-op-inspct, United-States, >50K
22, Private, Bachelors, Prof-specialty, Germany, <=50K
42, Local-gov, Some-college, Craft-repair, United-States, >50K
34, Private, Assoc-acdm, Sales, United-States, <=50K
60, Private, Bachelors, Prof-specialty, United-States, <=50K
21, Private, HS-grad, Handlers-cleaners, United-States, <=50K
57, Federal-gov, Masters, Sales, United-States, >50K
41, Private, Prof-school, Prof-specialty, United-States, >50K
50, Private, Some-college, Other-service, United-States, <=50K
25, Private, Bachelors, Exec-managerial, United-States, <=50K
50, Private, 7th-8th, Craft-repair, Ecuador, <=50K
36, Private, Bachelors, Prof-specialty, United-States, <=50K
31, Private, HS-grad, Prof-specialty, United-States, <=50K
29, Local-gov, Bachelors, Protective-serv, United-States, <=50K
21, Private, Some-college, Sales, United-States, <=50K
27, Private, Bachelors, Tech-support, United-States, <=50K
65, Private, HS-grad, Transport-moving, United-States, <=50K
37, Self-emp-inc, Bachelors, Sales, United-States, <=50K
39, ?, Masters, ?, ?, <=50K
24, Private, HS-grad, Craft-repair, United-States, <=50K
38, Private, HS-grad, Sales, United-States, <=50K
48, Private, Bachelors, Adm-clerical, United-States, >50K
21, Private, Some-college, Other-service, United-States, <=50K
31, Private, HS-grad, Transport-moving, United-States, >50K
55, Private, HS-grad, Sales, United-States, >50K
24, Private, Some-college, Adm-clerical, Laos, <=50K
43, Private, HS-grad, Adm-clerical, United-States, <=50K
26, Private, Assoc-acdm, Tech-support, United-States, <=50K
46, Private, Assoc-acdm, Prof-specialty, United-States, <=50K
35, Private, Assoc-acdm, Adm-clerical, United-States, >50K
41, Self-emp-inc, Some-college, Farming-fishing, United-States, >50K
26, Private, Bachelors, Sales, United-States, <=50K
34, Private, Masters, Exec-managerial, Taiwan, >50K
19, ?, Some-college, ?, United-States, <=50K
36, Self-emp-not-inc, Bachelors, Prof-specialty, United-States, >50K
22, Private, Some-college, Sales, United-States, <=50K
24, Private, Some-college, Machine-op-inspct, United-States, <=50K
77, Self-emp-not-inc, Some-college, Sales, United-States, <=50K
22, Private, 5th-6th, Machine-op-inspct, Mexico, <=50K
29, Private, Some-college, Tech-support, United-States, <=50K
62, Private, HS-grad, Other-service, United-States, <=50K
39, Self-emp-not-inc, HS-grad, Exec-managerial, United-States, <=50K
43, Private, Some-college, Craft-repair, United-States, <=50K
35, Private, HS-grad, Transport-moving, United-States, <=50K
29, Private, 11th, Exec-managerial, United-States, <=50K
76, Self-emp-not-inc, Masters, Craft-repair, United-States, <=50K
63, Self-emp-not-inc, HS-grad, Farming-fishing, United-States, <=50K
23, ?, Assoc-voc, ?, United-States, <=50K
43, Private, Some-college, Prof-specialty, United-States, >50K
58, Self-emp-not-inc, HS-grad, Handlers-cleaners, United-States, <=50K
66, Private, HS-grad, Transport-moving, United-States, <=50K
41, Private, Some-college, Craft-repair, United-States, <=50K
26, Private, Bachelors, Adm-clerical, United-States, <=50K
47, Private, Assoc-voc, Other-service, United-States, <=50K
55, Local-gov, 10th, Adm-clerical, United-States, <=50K
